time, Quad.IMU.AX
2.989966,-0.328159
2.994965,-0.502828
2.999965,-0.380011
3.004965,-0.798024
3.009964,0.143136
3.014964,-0.361338
3.019964,0.389643
3.024963,-0.673816
3.029963,-0.358091
3.034962,0.424039
3.039962,0.751989
3.044962,0.253253
3.049961,0.212711
3.054961,0.567361
3.059961,-0.884462
3.064960,1.021503
3.069960,0.761549
3.074960,0.425855
3.079959,-0.102783
3.084959,0.362390
3.089958,-0.293353
3.094958,-0.108371
3.099958,-0.473948
3.104957,-0.207079
3.109957,-0.415887
3.114957,0.020038
3.119956,-0.274103
3.124956,0.010560
3.129956,-0.523415
3.134955,-0.925535
3.139955,0.356558
3.144954,0.382588
3.149954,-0.793913
3.154954,-0.432700
3.159953,0.008450
3.164953,0.402309
3.169953,0.600493
3.174952,0.290484
3.179952,0.423583
3.184952,0.032573
3.189951,0.061213
3.194951,-0.285383
3.199950,-0.441352
3.204950,0.282423
3.209950,0.508334
3.214949,0.013344
3.219949,-0.261949
3.224949,-0.400742
3.229948,0.206189
3.234948,-0.542127
3.239948,0.012648
3.244947,-0.578265
3.249947,-0.837882
3.254946,-0.502532
3.259946,0.523398
3.264946,-0.004268
3.269945,-0.273892
3.274945,0.787814
3.279945,-0.010131
3.284944,0.482186
3.289944,-0.769946
3.294944,0.599346
3.299943,0.769129
3.304943,0.236280
3.309942,0.105219
3.314942,-0.734758
3.319942,0.685167
3.324941,-0.310005
3.329941,-0.729784
3.334941,0.313023
3.339940,-0.313960
3.344940,0.050394
3.349940,0.746245
3.354939,0.295085
3.359939,0.148823
3.364938,0.417213
3.369938,0.885996
3.374938,0.445250
3.379937,0.194713
3.384937,0.298117
3.389937,-0.076608
3.394936,-0.535823
3.399936,-0.598015
3.404936,0.389362
3.409935,-0.464701
3.414935,-0.690829
3.419935,-0.061995
3.424934,-0.237565
3.429934,-0.643012
3.434933,-0.762843
3.439933,-0.039727
3.444933,0.070757
3.449932,0.024871
3.454932,0.222449
